Provider,Location,Device,Aggregate Date,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Tajikistan,,Dec-20,mean,,,33.55,35.62
All Providers Combined,Uzbekistan,,Dec-20,median,,,20.27,19.34
All Providers Combined,Uzbekistan,,Dec-20,mean,,,33.2,32.92
All Providers Combined,Azerbaijan,,Jan-21,median,,,11.7,13.07
All Providers Combined,Azerbaijan,,Jan-21,mean,,,22.82,24.65
All Providers Combined,Armenia,,Jan-21,median,,,25.69,24.08
All Providers Combined,Armenia,,Jan-21,mean,,,35.16,33.25
All Providers Combined,Belarus,,Jan-21,median,,,40.28,35.92
All Providers Combined,Belarus,,Jan-21,mean,,,67.61,51.25
All Providers Combined,Kazakhstan,,Jan-21,median,,,26.76,26.29
All Providers Combined,Kazakhstan,,Jan-21,mean,,,53.18,50.61
All Providers Combined,Kyrgyzstan,,Jan-21,median,,,32.54,30.41
All Providers Combined,Kyrgyzstan,,Jan-21,mean,,,44.34,39.13
All Providers Combined,Russia,,Jan-21,median,,,52.52,57.77
All Providers Combined,Russia,,Jan-21,mean,,,81.36,85.15
All Providers Combined,Tajikistan,,Jan-21,median,,,16.28,15.2
All Providers Combined,Tajikistan,,Jan-21,mean,,,33,31.81
All Providers Combined,Uzbekistan,,Jan-21,median,,,21.8,20.83
All Providers Combined,Uzbekistan,,Jan-21,mean,,,34.72,34.43
All Providers Combined,Azerbaijan,,Feb-21,median,,,12.62,13.69
All Providers Combined,Azerbaijan,,Feb-21,mean,,,23.42,25.59
All Providers Combined,Armenia,,Feb-21,median,,,23.71,22.01
All Providers Combined,Armenia,,Feb-21,mean,,,32,30.83
All Providers Combined,Belarus,,Feb-21,median,,,39.61,34.92
All Providers Combined,Belarus,,Feb-21,mean,,,65.56,49.21
All Providers Combined,Kazakhstan,,Feb-21,median,,,27.22,27.05
All Providers Combined,Kazakhstan,,Feb-21,mean,,,53.04,51
All Providers Combined,Kyrgyzstan,,Feb-21,median,,,33.67,31.82
All Providers Combined,Kyrgyzstan,,Feb-21,mean,,,47.17,42.54
All Providers Combined,Russia,,Feb-21,median,,,52.35,57.72
All Providers Combined,Russia,,Feb-21,mean,,,82,85.91
All Providers Combined,Tajikistan,,Feb-21,median,,,20.27,19.16
All Providers Combined,Tajikistan,,Feb-21,mean,,,35.86,35.66
All Providers Combined,Uzbekistan,,Feb-21,median,,,22.38,21.91
All Providers Combined,Uzbekistan,,Feb-21,mean,,,36.89,36.87
All Providers Combined,Azerbaijan,,Mar-21,median,,,11.38,12.52
All Providers Combined,Azerbaijan,,Mar-21,mean,,,22.78,24.78
All Providers Combined,Armenia,,Mar-21,median,,,23.37,21.27
All Providers Combined,Armenia,,Mar-21,mean,,,32.36,30.82
All Providers Combined,Belarus,,Mar-21,median,,,40.41,35.99
All Providers Combined,Belarus,,Mar-21,mean,,,66.86,51.01
All Providers Combined,Kazakhstan,,Mar-21,median,,,28.87,28.89
All Providers Combined,Kazakhstan,,Mar-21,mean,,,55.55,52.97
All Providers Combined,Kyrgyzstan,,Mar-21,median,,,35.52,33.24
All Providers Combined,Kyrgyzstan,,Mar-21,mean,,,46.93,43.97
All Providers Combined,Russia,,Mar-21,median,,,53.62,59.34
All Providers Combined,Russia,,Mar-21,mean,,,83.72,87.52
All Providers Combined,Tajikistan,,Mar-21,median,,,18.48,17.67
All Providers Combined,Tajikistan,,Mar-21,mean,,,32.89,34.12
All Providers Combined,Uzbekistan,,Mar-21,median,,,23.74,21.37
All Providers Combined,Uzbekistan,,Mar-21,mean,,,36.62,36.13
All Providers Combined,Azerbaijan,,Apr-21,median,,,12.22,12.85
All Providers Combined,Azerbaijan,,Apr-21,mean,,,24.21,25.6
All Providers Combined,Armenia,,Apr-21,median,,,25.16,21.78
All Providers Combined,Armenia,,Apr-21,mean,,,33.87,31.43
All Providers Combined,Belarus,,Apr-21,median,,,41.81,37.25
All Providers Combined,Belarus,,Apr-21,mean,,,68.78,53.08
All Providers Combined,Kazakhstan,,Apr-21,median,,,29.39,28.42
All Providers Combined,Kazakhstan,,Apr-21,mean,,,56.2,53.27
All Providers Combined,Kyrgyzstan,,Apr-21,median,,,38.71,34.99
All Providers Combined,Kyrgyzstan,,Apr-21,mean,,,48.16,45.33
All Providers Combined,Russia,,Apr-21,median,,,55.29,60.54
All Providers Combined,Russia,,Apr-21,mean,,,87.08,89.96
All Providers Combined,Tajikistan,,Apr-21,median,,,19.22,18.49
All Providers Combined,Tajikistan,,Apr-21,mean,,,33.54,34.69
