Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2024-08-01T00:00:00Z,2024,8,3,2024-Q3,2024-08,Azerbaijan,All Providers Combined,Fixed,median,49.9,48.97,8.9183,4.027,NA,Aug-24
2024-09-01T00:00:00Z,2024,9,3,2024-Q3,2024-09,Azerbaijan,All Providers Combined,Fixed,mean,81.09,75.15,26,20,NA,Sep-24
2024-09-01T00:00:00Z,2024,9,3,2024-Q3,2024-09,Azerbaijan,All Providers Combined,Fixed,median,58.35,58.2,8.95,4.1,NA,Sep-24
2024-10-01T00:00:00Z,2024,10,4,2024-Q4,2024-10,Azerbaijan,All Providers Combined,Fixed,mean,104.98,99.71,28,21,NA,Oct-24
2024-10-01T00:00:00Z,2024,10,4,2024-Q4,2024-10,Azerbaijan,All Providers Combined,Fixed,median,64.45,60.23,8.9326,3.7613,NA,Oct-24
2024-11-01T00:00:00Z,2024,11,4,2024-Q4,2024-11,Azerbaijan,All Providers Combined,Fixed,mean,107.03,105.75,28,21,NA,Nov-24
2024-11-01T00:00:00Z,2024,11,4,2024-Q4,2024-11,Azerbaijan,All Providers Combined,Fixed,median,65.84,68.59,9.1305,3.875,NA,Nov-24
2024-12-01T00:00:00Z,2024,12,4,2024-Q4,2024-12,Azerbaijan,All Providers Combined,Fixed,mean,110.9,107.48,28,21,NA,Dec-24
2024-12-01T00:00:00Z,2024,12,4,2024-Q4,2024-12,Azerbaijan,All Providers Combined,Fixed,median,66.47,68.51,8.8451,3.685,NA,Dec-24
2025-01-01T00:00:00Z,2025,1,1,2025-Q1,2025-01,Azerbaijan,All Providers Combined,Fixed,mean,110.66,105.42,28,21,NA,Jan-25
2025-01-01T00:00:00Z,2025,1,1,2025-Q1,2025-01,Azerbaijan,All Providers Combined,Fixed,median,68.62,69.53,9.1093,3.8841,NA,Jan-25
2025-02-01T00:00:00Z,2025,2,1,2025-Q1,2025-02,Azerbaijan,All Providers Combined,Fixed,mean,125.15,113.73,28,21,NA,Feb-25
2025-02-01T00:00:00Z,2025,2,1,2025-Q1,2025-02,Azerbaijan,All Providers Combined,Fixed,median,74.32,72.85,9.1229,3.575,NA,Feb-25
2025-03-01T00:00:00Z,2025,3,1,2025-Q1,2025-03,Azerbaijan,All Providers Combined,Fixed,mean,139.51,127.21,28,22,NA,Mar-25
2025-03-01T00:00:00Z,2025,3,1,2025-Q1,2025-03,Azerbaijan,All Providers Combined,Fixed,median,79.64,80.96,8.5156,3.4411,NA,Mar-25
2025-04-01T00:00:00Z,2025,4,2,2025-Q2,2025-04,Azerbaijan,All Providers Combined,Fixed,mean,138.61,123.47,30,24,NA,Apr-25
2025-04-01T00:00:00Z,2025,4,2,2025-Q2,2025-04,Azerbaijan,All Providers Combined,Fixed,median,78.34,78.9,8.3667,3.4789,NA,Apr-25
2025-05-01T00:00:00Z,2025,5,2,2025-Q2,2025-05,Azerbaijan,All Providers Combined,Fixed,mean,141.55,126.61,29,23,NA,May-25
2025-05-01T00:00:00Z,2025,5,2,2025-Q2,2025-05,Azerbaijan,All Providers Combined,Fixed,median,81.22,80.67,8.1503,3.0979,NA,May-25
2025-06-01T00:00:00Z,2025,6,2,2025-Q2,2025-06,Azerbaijan,All Providers Combined,Fixed,mean,148.15,133.17,29,23,NA,Jun-25
2025-06-01T00:00:00Z,2025,6,2,2025-Q2,2025-06,Azerbaijan,All Providers Combined,Fixed,median,84.26,83.33,8.3513,3.05,NA,Jun-25
2025-07-01T00:00:00Z,2025,7,3,2025-Q3,2025-07,Azerbaijan,All Providers Combined,Fixed,mean,153.11,135.92,30,23,NA,Jul-25
2025-07-01T00:00:00Z,2025,7,3,2025-Q3,2025-07,Azerbaijan,All Providers Combined,Fixed,median,84.64,84.24,8.4778,3.1336,NA,Jul-25
2025-08-01T00:00:00Z,2025,8,3,2025-Q3,2025-08,Azerbaijan,All Providers Combined,Fixed,mean,155.32,140.98,33,26,NA,Aug-25
2025-08-01T00:00:00Z,2025,8,3,2025-Q3,2025-08,Azerbaijan,All Providers Combined,Fixed,median,84.84,84.61,8.4706,3.1289,NA,Aug-25
2025-09-01T00:00:00Z,2025,9,3,2025-Q3,2025-09,Azerbaijan,All Providers Combined,Fixed,mean,154.24,140.32,31,25,NA,Sep-25
2025-09-01T00:00:00Z,2025,9,3,2025-Q3,2025-09,Azerbaijan,All Providers Combined,Fixed,median,84.8,85.27,8.2312,3.1278,NA,Sep-25
