Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date,Technology
2021-09-01T00:00:00Z,2021,9,3,2021-Q3,2021-09,Armenia,All Providers Combined,Cellular,median,23.98,7.24,NA,NA,NA,Sep-21,cellular
2021-09-01T00:00:00Z,2021,9,3,2021-Q3,2021-09,Armenia,All Providers Combined,Fixed,mean,38.95,34.81,NA,NA,NA,Sep-21,NA
2021-09-01T00:00:00Z,2021,9,3,2021-Q3,2021-09,Armenia,All Providers Combined,Fixed,median,28.39,22.9,NA,NA,NA,Sep-21,NA
2021-10-01T00:00:00Z,2021,10,4,2021-Q4,2021-10,Armenia,All Providers Combined,Cellular,mean,36.2,11.76,NA,NA,NA,Oct-21,cellular
2021-10-01T00:00:00Z,2021,10,4,2021-Q4,2021-10,Armenia,All Providers Combined,Cellular,median,25.51,7.18,NA,NA,NA,Oct-21,cellular
2021-10-01T00:00:00Z,2021,10,4,2021-Q4,2021-10,Armenia,All Providers Combined,Fixed,mean,37.99,34.58,NA,NA,NA,Oct-21,NA
2021-10-01T00:00:00Z,2021,10,4,2021-Q4,2021-10,Armenia,All Providers Combined,Fixed,median,28.32,23.5,NA,NA,NA,Oct-21,NA
2021-11-01T00:00:00Z,2021,11,4,2021-Q4,2021-11,Armenia,All Providers Combined,Cellular,mean,35.11,11.53,NA,NA,NA,Nov-21,cellular
2021-11-01T00:00:00Z,2021,11,4,2021-Q4,2021-11,Armenia,All Providers Combined,Cellular,median,24.27,7.19,NA,NA,NA,Nov-21,cellular
2021-11-01T00:00:00Z,2021,11,4,2021-Q4,2021-11,Armenia,All Providers Combined,Fixed,mean,39.34,36.97,NA,NA,NA,Nov-21,NA
2021-11-01T00:00:00Z,2021,11,4,2021-Q4,2021-11,Armenia,All Providers Combined,Fixed,median,27.93,23.95,NA,NA,NA,Nov-21,NA
2021-12-01T00:00:00Z,2021,12,4,2021-Q4,2021-12,Armenia,All Providers Combined,Cellular,mean,37.26,12.13,NA,NA,NA,Dec-21,cellular
2021-12-01T00:00:00Z,2021,12,4,2021-Q4,2021-12,Armenia,All Providers Combined,Cellular,median,25.8,7.74,NA,NA,NA,Dec-21,cellular
2021-12-01T00:00:00Z,2021,12,4,2021-Q4,2021-12,Armenia,All Providers Combined,Fixed,mean,49.46,45.19,NA,NA,NA,Dec-21,NA
2021-12-01T00:00:00Z,2021,12,4,2021-Q4,2021-12,Armenia,All Providers Combined,Fixed,median,31.21,27.62,NA,NA,NA,Dec-21,NA
2022-01-01T00:00:00Z,2022,1,1,2022-Q1,2022-01,Armenia,All Providers Combined,Cellular,mean,37.61,11.74,39,17,NA,Jan-22,cellular
2022-01-01T00:00:00Z,2022,1,1,2022-Q1,2022-01,Armenia,All Providers Combined,Cellular,median,26.23,7.7,30.3366,7.334,NA,Jan-22,cellular
